spark_pregel_operation: job_1
,2496,2496,1024,5568,1144,952,584,2952,1352,1544,440,2616,record sum


spark_pregel_operation: job_2
,17408,17408,4864,84992,7592,6616,2760,57784,9816,10792,2104,27208,record sum


spark_pregel_operation: job_3
,208896,208896,45056,2371584,79824,70704,21904,1603824,129072,138192,23152,767760,record sum


spark_pregel_operation: job_4
,2310144,2310144,409600,65077248,787872,705120,174880,43934688,1522272,1605024,234720,21142560,record sum


spark_pregel_operation: job_5
,24248320,24248320,3670016,1779433472,7484224,6745280,1398336,1200697280,16764096,17503040,2271680,578736192,record sum


spark_pregel_operation: job_6
,245366784,245366784,32505856,48616177664,69273216,62749056,11185280,32799326080,176093568,182617728,21320576,15816851584,record sum


spark_pregel_operation: job_1
,2496,2496,1024,5568,1144,952,584,2952,1352,1544,440,2616,record sum


spark_pregel_operation: job_2
,17408,17408,4864,84992,7592,6616,2760,57784,9816,10792,2104,27208,record sum


spark_pregel_operation: job_3
,208896,208896,45056,2371584,79824,70704,21904,1603824,129072,138192,23152,767760,record sum


spark_pregel_operation: job_4
,2310144,2310144,409600,65077248,787872,705120,174880,43934688,1522272,1605024,234720,21142560,record sum


spark_pregel_operation: job_5
,24248320,24248320,3670016,1779433472,7484224,6745280,1398336,1200697280,16764096,17503040,2271680,578736192,record sum


spark_pregel_operation: job_1
,2496,2496,1024,5568,1144,952,584,2952,1352,1544,440,2616,record sum


spark_pregel_operation: job_2
,17408,17408,4864,84992,7592,6616,2760,57784,9816,10792,2104,27208,record sum


spark_pregel_operation: job_3
,208896,208896,45056,2371584,79824,70704,21904,1603824,129072,138192,23152,767760,record sum


spark_pregel_operation: job_4
,2310144,2310144,409600,65077248,787872,705120,174880,43934688,1522272,1605024,234720,21142560,record sum


spark_pregel_operation: job_1
,2496,2496,1024,5568,1144,952,584,2952,1352,1544,440,2616,record sum


spark_pregel_operation: job_2
,17408,17408,4864,84992,7592,6616,2760,57784,9816,10792,2104,27208,record sum


spark_pregel_operation: job_3
,208896,208896,45056,2371584,79824,70704,21904,1603824,129072,138192,23152,767760,record sum


spark_pregel_operation: job_4
,2310144,2310144,409600,65077248,787872,705120,174880,43934688,1522272,1605024,234720,21142560,record sum


spark_pregel_operation: job_5
,24248320,24248320,3670016,1779433472,7484224,6745280,1398336,1200697280,16764096,17503040,2271680,578736192,record sum


spark_pregel_operation: job_6
,245366784,245366784,32505856,48616177664,69273216,62749056,11185280,32799326080,176093568,182617728,21320576,15816851584,record sum


spark_pregel_operation: job_1
,2496,2496,1024,5568,1144,952,584,2952,1352,1544,440,2616,record sum


spark_pregel_operation: job_2
,17408,17408,4864,84992,7592,6616,2760,57784,9816,10792,2104,27208,record sum


spark_pregel_operation: job_3
,208896,208896,45056,2371584,79824,70704,21904,1603824,129072,138192,23152,767760,record sum


spark_pregel_operation: job_4
,2310144,2310144,409600,65077248,787872,705120,174880,43934688,1522272,1605024,234720,21142560,record sum


spark_pregel_operation: job_5
,24248320,24248320,3670016,1779433472,7484224,6745280,1398336,1200697280,16764096,17503040,2271680,578736192,record sum


spark_pregel_operation: job_6
,245366784,245366784,32505856,48616177664,69273216,62749056,11185280,32799326080,176093568,182617728,21320576,15816851584,record sum


